No.,Labels,Tweets,Happiness,Sadness,Anger,Disgust,Surprise,Fear,Sentiment
39,0,ถ้าอยากคุยเล่นๆเรื่อยๆ อย่ามาคุยกับกู? สนใจกูบ้าง #เศร้า? #แคปชั่นกวนตีน,0,1,1,0,0,0,2
40,1,ไม่อยากคุยกับใคร ไม่อยากระบาย ไม่อยากเจอใคร ไม่อยากไปไหน ไม่อยากอยู่แล้ว #โรคซึมเศร้า,0,1,0,0,0,0,2
41,0,ไม่มีแผล ไม่ได้แปลว่าไม่ช้ำใน #โรคซึมเศร้า,0,1,0,0,0,0,0
42,0,ทั้งๆที่รอยทั้งหมดจะหาดีแล้วแท้ๆ ทั้งๆที่คิดว่าตัวเองต้องดีขึ้นแล้วแท้ๆ ทั้งๆที่ก่อนหน้านี้หัวเราะยิ้มได้แล้วแท้ๆ ทั้งๆที่พยายามมากๆแล้วแต่ก็ยังเป็นได้แค่ไอขี้แพ้ แย่ แย่ทุกอย่าง เหนื่อยแล้ว อยากเข้าใจตัวเองจัง แต่ไม่รู้ทำไม เพราะอะไรเหมือนกัน #บันทึกของเราเอง #โรคซึมเศร้า,0,1,1,1,0,0,2
43,0,โลกจอมปลอม #โรคซึมเศร้า,0,0,1,1,0,0,2
44,0,เจ้าสาวป่วยมะเร็งตับแต่งงานกลาง รพ.เสียชีวิตแล้ว เตือนใจคนปวดท้องบ่อย อย่าคิดว่าไม่มีอะไร #น้องโยโย่ #ทีมพีรญา #โรคซึมเศร้า #ข่าวจริง #ข่าว #แมทโป๊ะแตก #แคปชั่นโดนๆ #เบบี๋ #เงี่ยน #เงี่ยน #ข่าวสดออนไลน์ #ข่าวช่องวัน #ข่าวจริง #น้องโยโย่ #SeeUAgainPlannet https://t.co/41xPamanUd,0,1,0,0,1,0,2
45,0,เอาไว้ให้ทุกอย่างลงตัว แล้วกลับมาเริ่มใหม่ไปด้วยกันนะ #โรคซึมเศร้า,1,0,0,0,0,0,1
46,0,เจ้าสาวป่วยมะเร็งตับแต่งงานกลาง รพ.เสียชีวิตแล้ว เตือนใจคนปวดท้องบ่อย อย่าคิดว่าไม่มีอะไร #น้องโยโย่ #ทีมพีรญา #โรคซึมเศร้า #ข่าวจริง #ข่าว #แมทโป๊ะแตก #แคปชั่นโดนๆ #เบบี๋ #เงี่ยน #เงี่ยน #ข่าวสดออนไลน์ #ข่าวช่องวัน #ข่าวจริง #น้องโยโย่ #SeeUAgainPlannet https://t.co/KouzSV10UF,0,1,0,0,1,0,0
47,0,คนที่เหมือนจะเข้าใจ แต่พอวันนี้รู้แล้ว ว่าจริงๆแล้ว ไม่มีใครเข้าใจเลย มีแต่ครที่เป็นเหมือนกับเรา ถึงเข้าใจ #โรคซึมเศร้า,0,1,0,0,1,0,2
48,0,ไม่รู้จะเริ่มจากตรงไหน?????? #เหนื่อยกับชีวิต,0,1,0,0,0,0,0
49,0,"เราคงตกนรกแล้วละ เพราะเราเล่นโกหกว่า ""เรามีความสุขดี"" ทั้งครอบครัว ทั้งคนอื่นๆ หรือแม้แต่ตัวเอง #โรคซึมเศร้า",0,1,0,1,0,1,2
50,0,#โรคซึมเศร้า ไม่อยากให้ใครรู้เลยค่ะ ??,0,1,0,0,0,1,2
51,0,ทำไมต้องอ่อนเเอ เเค่เขาไม่แคร์ จะงอเเงทำไม???? #เเคปชั่นเด็ด #เเคปชั่นเศร้า #เศร้า,0,1,0,0,0,0,2
52,0,ผมจะฝืนตัวเองได้นานแค่ไหมกัน?? #โรคซึมเศร้า,0,1,0,0,0,1,2
53,0,ไม่ได้รอเธอ แต่รอเวลา เพราะรู้แล้วว่าเวลาไม่ได้พาเธอกลับมา แต่เวลาช่วยให้ลืมเธอ #คิดถึง #คิดถึงแฟนเก่า #แคปชั่น #แคปชั่นโดนๆ #แคปชั่นโสด #อกหัก #เศร้า #แฟนเก่า #แฟนเก่าเป็นสิ่งมีชีวิตที่กูคิดถึงที่สุด #โสด2019 #อกหักมันเจ็บ #แคปชั่น2019 #เจ็บ #คําคมเด็ดๆ #คําคมในวงเหล้า,0,1,0,0,0,0,2
54,0,ไม่มีใคร เข้มแข็ง ได้ตลอดเวลาหรอก #โรคซึมเศร้า,0,1,0,0,0,0,2
55,0,ไม่มีสมาธิเลย.#โรคซึมเศร้า,0,0,0,0,0,0,0
56,0,เพราะคนแพ้ มันไม่คู่ควร #แพ้ #เศร้า #ซึมเศร้า #คนแพ้,0,1,0,0,0,0,2
57,1,มียานอนหลับมั้ย แบบที่หลับแล้วไม่ต้องตื่นมาอีกเลย #โรคซึมเศร้า,0,1,0,0,0,0,2
58,0,จงทบทวนตัวเองว่าจริงๆแล้วเราแย่แค่ไหน ถึงมีแต่คนผลักออกจากชีวิต เป็นคนที่ไม่มีใครต้องการ #เหนื่อยกับชีวิต #เบื่อโลก ????,0,1,0,0,0,0,2
59,0,ไม่มีใครอยู่ข้างเราเลยสินะ #โรคซึมเศร้า,0,1,0,0,0,0,2
60,0,วันนี้พี่พุดเรื่องกินยาเยอะเด่วเป็นไตนะ  อยากหายมั้ย   หนุไม่พยายามเลย  ล่าสุดไม่ต้องไปหาหมอ...ไปบวชแทน  เค้าชอบถามว่าทำไมถึงดิ่ง ถามหาเหตุผล  #โรคซึมเศร้า,0,0,0,1,0,0,2
61,0,มาพยายามด้วยกันนะคะ หาหมอ ออกกำลัง นอนให้พอ อันนี้หัวใจหลักของการรักษาโรคนี้เลยค่ะ  ชอบคหสต.นี้   #โรคซึมเศร้า,1,0,0,0,0,0,1
62,0,ขับรถผ่านป่า กรุณาให้เกียรติเจ้าของบ้านด้วย #RIP ???? #แมวดาว จากดวงดาวประดับป่า กลายเป็นดาวประดับท้องฟ้า #อยากให้เป็นตัวสุดท้าย ขอมากไปมั้ย??  #ink #inking,0,0,1,0,0,0,0
63,0,อย่าปลูกดอกไม้...ถ้าไม่มีเวลารดน้ำ                                     ??ความรักก้เช่นกัน??  #แคปชั่น #แคปชั่นอกหัก #อกหัก #เศร้า #เจ็บ #คำคมอกหัก #คำคม #คำคมโดนๆ #แคปชั่นโดนๆ #คนโสด #เหงา #แคปชั่นเด็ด #คำคมเจ็บ #แคปชั่นแรงๆ #คำคมแรง,0,1,0,0,0,0,2
64,0,ค้นพบว่าการติ่งใครหรือวงใดวงหนึ่ง ก็เป็นการนำพาเราออกมาจากโลกมืดได้ดี แต่ไม่ทั้งหมด เราอาจจะมีความสุขในโลกของการเป็นติ่ง แต่พออยู่กับตัวเองก็กลับมาเศร้า คิดมาก ร้องไห้ อ่อนไหวอยู่ดี #โรคซึมเศร้า,1,1,0,0,1,0,2
65,0,ทุกวันนี้ที่ยิ้มได้ หัวเราะได้ มีความสุขได้ ไม่ใช่ดพราะครอบครัวเลย #โรคซึมเศร้า,1,1,0,0,1,0,2
66,0,คำพูดเป็นสิ่งสำคัญของโรคนี้หลายคนอาจมองว่าเขา สำออย  ตอแหล เรียกร้องความสนใจ แล้วมีใครบ้างละที่ อยากทำให้ตัวเองโดนด่า ใครล่ะที่จะอยากร้องไห้ทุกคืน ใครล่ะที่ไม่อยากมีความสุข ใครที่อยากทำร้ายตัวเอง คุณไม่มีทางเข้าใจถ้าคุณไม่เป็นฉัน มันทรมานกว่าที่คุณคิด  มันไม่สนุกเลย #โรคซึมเศร้า,0,1,1,1,0,0,2
67,1,ถ้าบอกแม่ว่ากำลังจะตาย แม่จะเสียใจไหมนะ .. #โรคซึมเศร้า,0,1,0,1,0,1,2
68,0,Blue ไม่ได้แปลว่าสีน้ำเงินเท่านั้นนะ ในแง่ของความรู้สึก Blue บอกได้ถึงอารมณ์ที่ซึมเศร้าได้อีกด้วย ??  #ความรู้สึก #เศร้า #blue #ซึมเศร้า #เหงา #อารมณ์ล้วนๆ,0,0,0,0,1,0,0
69,0,ทุกอย่างมีเหตุผล หากไม่คิดที่รับฟัง ก็อย่าให้เราพูดถึงมันเลย #โรคซึมเศร้า,0,1,1,0,0,0,2
70,1,ถ้าชีวิตมันเหนื่อยมาก   ก็ปล่อยให้มันจบๆไปเถอะ #โรคซึมเศร้า,0,1,0,0,0,0,2
71,0,บางครั้งเราก็อารมณ์ดีเมื่ออยู่กับหลายๆคน แต่พออยู่คนเดียวแค่นั้นแหละ..... #โรคซึมเศร้า,0,1,0,0,1,0,2
72,0,รอยยิ้มที่สร้างขึ้นมา ทำไมมันไม่มีความสุขเลยละ หรือว่ามันปลอม #โรคซึมเศร้า,0,1,0,1,0,0,2
73,1,ทำไมชีวิตต้องมาเจออะไรเเบบนี้ด้วย. *ตายดีกว่า #*%@$% #อยากตาย,0,1,1,1,0,0,2
74,0,น้ำตามันไหลมาเยือนหน้าซ้ำแล้วซ้ำเล่า  #โรคซึมเศร้า,0,1,0,0,0,0,2
75,0,เราเป็นหนึ่งคนที่ไม่บอกที่บ้านว่าเราเป็น #โรคซึมเศร้า หลายๆอย่างมันทำให้เราคิดว่าดีแล้วที่เราไม่บอกเขา อย่าให้เขามารับรู้อะไรแบบนี้เลย แค่นี้เขาก็เหนื่อยกับเรามากพอแล้ว,0,1,0,0,0,1,2
76,0,ต้องคุยแบบไหนถึงจะได้คบ ? ?? #คิดถึง #เหนื่อย #เหนื่อยแล้ว #เหงา #เสียใจ #เศร้าใจ #เศร้า #ร้องไห้ #อยากเจอ #ความรัก #ความรู้สึกล้วนๆ #ความรู้สึกของวันนี้ #คำคมความรัก #คำคมในวงเหล้า #เพื่อน #อกหัก #เธอไม่เคยมีฉัน #เพ้อเจ้อ #คำคมบาดจิต #คำคม18บวก,0,1,0,0,0,0,2
77,0,เหมือนทุกอย่างเคลื่อนที่ไปข้างหน้า แต่ฉันกลับยืนอยู่ที่เดิม.#โรคซึมเศร้า,0,1,0,0,0,0,2
78,0,เพราะว่าตอนอยู่ก็ไม่เห็นจะมีใครรักขนาดคนในครอบครัวยังไม่รักเลย5555555 #โรคซึมเศร้า,0,1,0,1,0,0,2
79,0,เเล้วเราจะกลับมาเข้มเเข็งมากพอ ในวันที่เรารักตัวเอง?? #โรคซึมเศร้า,1,1,0,0,0,0,1
80,0,"ลองหยุดคาดหวังอะไรที่มันเป็นไปไม่ได้ดูไหม? ""เผื่อมันจะเหนื่อยน้อยลง""  #เหนื่อย #เหนื่อยกับชีวิต #เหนื่อยใจ #เจ็บ #อกหัก",0,1,0,0,0,0,0
81,0,ในขณะที่ผมพยายามสู้กับสิ่งที่ผมเป็น แต่คนรอบข้างกลับทำให้ผมอยากยอมแพ้ มันทำให้ผมรู้ว่า..ที่พยายามไปทั้งหมดสูญเปล่า . . ผมเสียใจนะ ผมคงยอมแพ้แล้วจริงๆ #โรคซึมเศร้า,0,1,1,0,0,0,2
82,0,ใจแม่งหวิว แม่งดิ่งอีกแล้ว ทำไมต้องเจอกับคนเหี้ยๆตลอดเลยวะ ไม่อยากร้องไห้ แต่ก็ต้องร้องออกมา ไม่ไหวแล้วอ่ะ เอาเราออกไปจากจุดนี้ทีนะ #โรคซึมเศร้า,0,1,1,1,0,0,2
83,0,คำว่ารัก คำว่าคิดถึง ที่ครอบครัวพูดออกมา เราไม่รู้ว่าเราสามารถเชื่อคำพูดของคุณได้มากแค่ไหน:(#โรคซึมเศร้า,0,1,0,1,0,1,2
84,0,ถ้าทำตัวแบบนี้ก็คงสอบไม่ติดหรอก ไม่น่าเชื่อเลยว่าจะเป็นคำพูดมาจากคนเป็นแม่ #โรคซึมเศร้า,0,1,1,1,0,0,2
85,0,มึงเล่นกูส้ะ ไม่เหลือที่ให้ยืนแล้ว  กูเขย่งจนปลายเล็บตีนไม่แตะพื้นแล้วไอ่สัส บัดซบ!! ??  #เจ็บ #เศร้า #ความรักหารสอง #ไม่ใช่ความสุขของผมแล้ว #ภาพจํา #ความรู้สึกของวันนี้ #ความรู้สึกล้วนๆ  #ประโยคหนึ่งสะดุ้งทั้งไทม์ไลน์,0,0,1,1,0,0,2
86,0,ต้องการคนเข้าใจ ไม่ใช่ซ้ำเติม       :( #โรคซึมเศร้า,0,1,0,0,0,0,2
87,0,เวลาเดือดร้อนขอให้เราช่วย เวลาเราขอความช่วย....หายหนีหมด  #โรคซึมเศร้า,0,1,1,0,1,0,2
88,0,เราต้องเสียใจขนาดไหนถึงแกจะสนใจเราว่ะ #เศร้า,0,1,0,0,0,0,2
89,0,"ผมชอบคำๆหนึ่งของคุณนะ แต่มันมาวันที่คุณมีเขาอยู่แล้ว คุณพูดกะผมว่า ""ถ้าเราแต่งงานกันผมจะสร้างบ้านแบบนี้แล้วเราก็มาอยู่ด้วยกัน มีคุณมีผมแค่นั้นพอแล้ว"" #เจ็บ #ร้องไห้ #เหนื่อย #เศร้า",0,1,0,0,0,0,0
90,0,ขอบคุณที่ทำให้รู้ว่าโดนเย็ดครั้งแรกเจ็บ แต่สุดท้ายโดนเย็ดเสร็จก็โดนทิ้ง #เจ็บ #ควาย #รักแฟน #เศร้า,0,1,1,0,0,0,2
91,0,ตอนนี้ขอแค่ใครซัก?คน? ใครก็ได้ที่จะอยู่กับเราในเวลาแบบ?นี้? ????#โรคซึมเศร้า,0,1,0,0,0,0,2
92,0,คำพูดมันฆ่ากูได้พวกมึงไม่รู้หรอก?? #โรคซึมเศร้า,0,1,0,1,0,0,2
93,1,ครั้งนี้มันหนักจริงๆ สัมผัสได้เลยว่าถ้าดิ่งอีกแค่ครั้งเดียว เราคงได้ไปจริงๆ #โรคซึมเศร้า,0,1,0,0,0,1,2
94,0,ต้องตอบคำถามมากมายในใจ ฉันเองไม่อาจจะหาความจริงใดใด.  #Sad,0,1,0,0,1,0,2
95,0,ใครที่เคยไปพบแพทย์เขาจะถามอะไรเราบ้างเหรอคะเขาจะให้เราทำอะไรบ้างเหรอเราอยากรู้จากคนที่ไปพบมา  #โรคซึมเศร้า,0,0,0,0,0,0,0
96,0,เราแสดงละครเก่งนะ ทุกวันนี้ก็แสดงว่าปกติเพื่อปิดว่าไม่ปกติ เราเก่งมั้ย #โรคซึมเศร้า,0,1,0,0,1,0,2
97,0,เลือกคนที่ทำให้เห็นว่ารัก ไม่ใช่คนที่พูดว่ารักแต่ไม่เคยทำให้เห็นเลย ..??  #เศร้า #เหนื่อย #รู้สึกแย่ #น้อยใจ #แฟนเก่าเป็นสิ่งมีชีวิตที่กูคิดถึงที่สุด,0,1,0,0,0,0,2
98,0,บางที่ก็เหนื่อยที่เปนแบบนี้ทำงานแทบตายรีบทำให้เสร็จ พอหัวหน้าแมร่งหาว่าเราไม่ได้ทำ แต่กับอีกพวกที่เพิ่งทำเสือกบอกว่าขยัน #คับที่อยู่ได้คับใจอยู่อยาก #เหนื่อยใจ #เหนื่อยกับชีวิต,0,1,1,1,0,0,2
99,0,น่าแปลกเนาะ...?? เราจะรู้จักกันมากขึ้น กว่าตอนที่เรารักกัน  พบกันครั้งแรก ก็เมื่อตอนที่เราแยกจากกันไป...   FernNi #เศร้า #อกหัก #เคว้ง #โสด #ความรู้สึก #เสียใจ #เหงา #แฟนเก่า #รอ #เวลา #คิดถึง #ความรัก #การรอคอย #ความเจ็บปวด #เจ็บ #เท #ทิ้ง #ปล่อย #รัก #ความทรงจำ #หมดใจ #เธอ #โง่,0,1,0,0,1,0,2
100,0,เอาจริงๆสำหรับบางคนแม่งไม่ต้องการอะไรเลยนอกจากใครสักคนที่สามารถทำให้ยิ้มในแต่ละวันเข้ามาเติมเต็มส่วนที่ขาดหาย แค่นั่นจริง  #ความรัก #เหนื่อยกับชีวิต,0,1,0,0,0,0,2
101,1,ฉันเกลียดครอบครัว พวกเขากดดันให้ฉันฆ่าตัวตาย เขาไม่มีวันรู้สึกผิด เรื่องในอดีตมันหลอกหลอนฉัน อยู่ตลอดเวลา   #โรคซึมเศร้า,0,1,1,1,0,0,2
102,0,หยุดไม่ได้น่ะสิ หยุดนานงานไม่เดิน เงินไม่มี #เศร้า,0,1,0,0,0,1,2
103,1,ทำไมคนที่ปกติแต่ต้องป่วยเพราะpm2.5ถึงไม่ใช่คนที่ต้องการตายอย่างเรา #โรคซึมเศร้า,0,1,0,0,0,0,2
104,0,เรากำลังยัดเยียดตัวเราให้กับคนอื่นมาแบกรับความน่าสมเพช?ของเราอีกแล้ว เกลียดตัวเอง #โรคซึมเศร้า,0,0,0,1,0,0,2
105,0,เป็นตัวปัญหายังไม่พอเป็นตัวสร้างปัญหาอีก เคยมีอะไรดีในชีวิตมั้ง ไม่ต้องเอาก็ได้ชีวิตนี้ถ้ามันทำให้พวกคุณลำบาก และถ้าคุณสบายใจที่ไม่มีเราอยู่ใกล้ๆ เรายอม . #โรคซึมเศร้า  Track (Lazy Day (ควัน) : Chom Chumkasian) (https://t.co/QoeBlqAZlD),0,1,1,1,0,0,2
106,0,2 -3 สัปดาห์ก่อน เพื่อนร่วมงาน อายุ45ปีขึ้นไป มาปรึกษา มีพฤติกรรม กลัวที่แคบ นอนไม่หลับ เดินเข้าห้องน้ำคนเดียวไม่ได้ ทานข้าวน้อยลง อยากขนมหวานมากขึ้น เข้าข่าย #โรคซึมเศร้า แนะนำไป ร.พ. พบจิตแพทย์ รับยาคลายเครียด ยานอนหลับ ดีขึ้นเพราะได้ปลดล็อคอารมณ์ที่ตนเก็บไว้ คือต้องการคนระบาย,0,0,0,0,1,0,0
107,0,มนุษย์มักมองเป็นตลก / เราตลกไม่ออกนะ. #โรคซึมเศร้า,0,1,1,1,0,0,2
108,1,วันนี้ท้องฟ้าสวยจริงๆนะ อยากไปอยู่บนนั้นแล้วจริงๆ #โรคซึมเศร้า,0,1,0,0,0,0,0
